seed,model,dropped_feature,dropped_idx,cos_vs_full_5dim_subset,significantly_misaligned,w_norm_5dim_subset,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza,w_anti_pobreza
12,claude,anti_pobreza,0,0.9953798281068728,True,0.49438413582753604,-0.015153128788562481,-0.4582788783600806,0.030068433679740377,0.1822295323866325,0.007403574614984179,
12,claude,anti_deuda,1,0.9996165055570111,True,1.0863727954978442,,-0.44865781621171513,-0.033045573306667415,0.18119097258511205,-0.012093785897193867,0.9720306459320629
12,claude,pro_aprobacion,2,0.9992328430847468,True,0.9868856889486526,-0.018192734085754086,,0.02187354321082055,0.1804047447561875,-0.002869973060193584,0.9698349482822501
12,claude,pro_crecimiento,3,0.9996667353084485,True,1.074704742518959,-0.01432833162261463,-0.4391717068653599,,0.1815407515352829,-0.002088096862059529,0.9638214511921387
12,claude,anti_desviacion_inflacion,4,0.9991845404018739,True,1.0801109324133658,-0.02769629101317284,-0.44422059281932574,-0.022221141384366802,,0.0032230568160509076,0.9838884283690744
12,claude,pro_confianza,5,0.9998593992060307,True,1.0802161762102518,-0.010235417612115126,-0.457504617145829,-0.010410956851345923,0.17492792554166736,,0.9626752213005071
12,openai,NONE,-1,,True,2.208620725419737,,,,,,
12,openai,anti_pobreza,0,0.9922128857004578,True,0.41799730825814513,-0.02295567849458797,-0.1285348948524541,0.38055340528037424,-0.006761320421943114,0.11316782942532523,
12,openai,anti_deuda,1,0.9999420877258818,True,2.2209655264195325,,-0.096232175286664,0.23804560572345804,-0.03373955020894135,0.06583419178771839,2.204833106954514
12,openai,pro_aprobacion,2,0.9998777208478714,True,2.189978343723389,-0.022233300444959286,,0.23724881126880712,-0.01982128028552286,0.06767328785260719,2.175833465787159
12,openai,pro_crecimiento,3,0.9998528568947541,True,2.2150877591186138,-0.014974277427631291,-0.08069423774092459,,-0.039692964859735315,0.06679056747761444,2.2122028569380148
12,openai,anti_desviacion_inflacion,4,0.9999814644084698,True,2.2195235066016705,0.009506589459491649,-0.0941381224048673,0.22826854261058435,,0.06821718313191856,2.2046705249094014
12,openai,pro_confianza,5,0.9998240488351318,True,2.2028631563957486,-0.021745538039632382,-0.07790185475924281,0.24977714187574357,-0.02572039809489567,,2.1870103700999
13,claude,NONE,-1,,True,1.1999577501468373,,,,,,
13,claude,anti_pobreza,0,0.7724510583541793,True,0.15688128747518426,-0.02390283993405882,-0.10534785281806075,0.03950988796732296,0.10606204592922763,0.011490590746274756,
13,claude,anti_deuda,1,0.9998608561323692,True,1.2195952357684212,,-0.06717316690959883,-0.0353135462294975,0.11849500923620186,-0.0247450253192527,1.211197702572592
13,claude,pro_aprobacion,2,0.9996243140137766,True,1.1914713555033336,-0.027555026765891357,,-0.03280450713036708,0.10497955251697837,0.011300317720912442,1.1860101905841944
13,claude,pro_crecimiento,3,0.9997017839109628,True,1.1966575907195225,-0.00520453471318111,-0.08190754950946563,,0.09566455162199572,0.0004034143889577339,1.190000666553687
13,claude,anti_desviacion_inflacion,4,0.9996890572380484,True,1.1969816186200555,-0.004330218591683915,-0.0696440592557664,-0.03888250503491711,,0.016509642833653398,1.1941991174118871
13,claude,pro_confianza,5,0.9997388234215373,True,1.20785758868362,-0.020656469394296467,-0.07340448806891371,-0.035441793450430456,0.09378191856963392,,1.2012717748163935
13,openai,NONE,-1,,True,1.7695427702129891,,,,,,
