N,k,converged,cos_to_true,cos_err,l2_err_direction,w_norm,error
100,25,True,0.9424848064981954,0.05751519350180456,0.3391612993895519,0.9818208517565892,
100,26,True,0.9818303110495402,0.018169688950459784,0.19062890101167632,1.0829348194954347,
100,27,True,0.8457960057197672,0.1542039942802328,0.5553449275544574,1.1015268975448596,
100,28,True,0.9471371740191048,0.0528628259808952,0.3251548122999114,0.8906078137176052,
100,29,True,0.9428328272813424,0.057167172718657566,0.338133620684657,1.0511647766734817,
100,30,True,0.9647220376398622,0.035277962360137805,0.2656236524112182,0.9512857621243248,
100,31,True,0.9746472053072395,0.025352794692760527,0.22517901630818296,1.1870247526124829,
100,32,True,0.9723337853950368,0.027666214604963213,0.235228461734388,0.9813113110004447,
100,33,True,0.9833461296579322,0.016653870342067778,0.18250408402042875,0.8825709640507462,
100,34,True,0.971603695212205,0.02839630478779498,0.2383120004858961,1.1085723878830511,
100,35,True,0.9478620988703572,0.05213790112964278,0.32291764005592066,1.0630518832954698,
100,36,True,0.9519440515808859,0.04805594841911409,0.3100191878549271,1.052411475071826,
100,37,True,0.9619033270276579,0.038096672972342094,0.27603142202416714,1.1240675007718413,
100,38,True,0.9815877488192926,0.01841225118070744,0.1918971139997027,0.9125149473977944,
100,39,True,0.9634487420779279,0.036551257922072145,0.2703747692447361,1.0611825931932624,
100,40,True,0.987555872667368,0.012444127332632005,0.15776011747353647,1.0529360631854292,
100,41,True,0.9567629786390899,0.04323702136091012,0.2940646913891915,0.9424759736430836,
100,42,True,0.9566133584977922,0.043386641502207834,0.29457305206759143,0.9428672181252238,
100,43,True,0.9927709753313304,0.0072290246686695925,0.1202416289699172,1.0266779136824555,
100,44,True,0.9008046079484914,0.09919539205150862,0.44541080375650666,1.0216052569314273,
100,45,True,0.9811910892886154,0.018808910711384574,0.19395314233795985,1.0925136656063983,
100,46,True,0.9620541359352204,0.03794586406477962,0.2754845333763025,1.2745302197510813,
100,47,True,0.95359015108203,0.046409848917969954,0.30466325317625675,1.3573169187335343,
100,48,True,0.921663359470478,0.07833664052952205,0.3958197582979458,1.3689694906013907,
100,49,True,0.981009570844257,0.018990429155743005,0.19488678331658668,1.1529091881476632,
100,50,True,0.9313499157339354,0.06865008426606456,0.37054037368703674,0.8611409780461601,
100,51,True,0.9614288075794255,0.038571192420574496,0.2777451796902138,0.9981244785628458,
100,52,True,0.9919859363637406,0.00801406363625945,0.12660224039296922,1.048486236912574,
100,53,True,0.9447432644035331,0.05525673559646693,0.3324356647427193,1.2256980913437512,
100,54,True,0.9374962955604733,0.06250370443952669,0.35356386817526075,0.9740690148472009,
100,55,True,0.98378775416453,0.016212245835469985,0.18006801956744042,1.4034206163703193,
100,56,True,0.9690460932722421,0.030953906727757885,0.24881280806163544,0.8412774569794236,
100,57,True,0.9506944263740981,0.04930557362590193,0.3140241189014056,0.8131029348161475,
100,58,True,0.9675500848914402,0.03244991510855977,0.25475445082887116,1.2509281574604603,
100,59,True,0.9876904177678091,0.012309582232190919,0.1569049536005222,1.0045753837032552,
100,60,True,0.9911348948320643,0.008865105167935705,0.13315483594624405,1.1906199185725248,
100,61,True,0.9652481773831264,0.034751822616873596,0.2636354400184982,0.9883575613806721,
100,62,True,0.9772818703073859,0.02271812969261411,0.21315782740783507,0.9969378644561727,
100,63,True,0.9259320086006733,0.07406799139932674,0.3848843758827496,1.2001172710460197,
100,64,True,0.9721903114974635,0.02780968850253651,0.23583760727473707,1.0690096572623093,
100,65,True,0.9851587012395822,0.014841298760417843,0.17228638228494936,1.2960522787945201,
100,66,True,0.922034301048771,0.07796569895122896,0.3948814985567926,1.210655480737197,
100,67,True,0.9577395282156925,0.042260471784307474,0.29072485887624927,1.0339352765195056,
100,68,True,0.9836376584682301,0.016362341531769853,0.18089964915261716,0.9974860544320933,
100,69,True,0.9688039161152285,0.031196083884771464,0.2497842424364343,1.0597292602916466,
100,70,True,0.9518187523435225,0.048181247656477466,0.310423090817927,0.9764871068995453,
100,71,True,0.9743065482660251,0.02569345173397486,0.2266867959717769,1.091549413067134,
100,72,True,0.8984608792694495,0.10153912073055049,0.45064203250595813,1.0638366955825527,
100,73,True,0.9772332454465902,0.022766754553409818,0.2133858221785591,1.2233349802088422,
100,74,True,0.9389071111337448,0.06109288886625519,0.34955082281767025,1.0261859571693692,
100,75,True,0.9687276873561138,0.03127231264388619,0.2500892346498999,1.04603748851122,
100,76,True,0.9902214943330825,0.009778505666917514,0.13984638477213127,0.9018607355270786,
100,77,True,0.9956064413080016,0.004393558691998423,0.09373962547395052,0.8903083734132848,
100,78,True,0.9869273698586329,0.013072630141367059,0.1616949605978315,1.0846461642087508,
